fid,full_id,osm_id,osm_type,addr:country,addr:city,maxspeed,tactile_paving,traffic_signals,wheelchair,short_name,lit,amenity,operator,network:wikidata,network:short,network,shelter,bin,bench,name:en,route_ref,ref,public_transport,name,location,bus,button_operated,crossing,traffic_signals:direction,highway
"62",n410484479,"410484479",node,,,,,,,,,,,,,,,,,,"169;169A;169B;903;903M","46271",platform,Opposite Blk 802,Woodlands Avenue 2,yes,,,,bus_stop
"63",n410484480,"410484480",node,,,,,,,,,,,,,,,,,,"169;903;903M;911;911T;NR2","46279",platform,Blk 803,Woodlands Avenue 2,yes,,,,bus_stop
"64",n410485114,"410485114",node,,,,,,,,,,,,,,,,,,"169","46719",platform,Givaudan Singapore,Woodlands Avenue 8,yes,,,,bus_stop
"65",n410485115,"410485115",node,,,,,,,,,,,,,,,,,,"169;169A;169B","46711",platform,Before Admiralty Road West,Woodlands Avenue 8,yes,,,,bus_stop
"66",n410485118,"410485118",node,,,,,,,,,,,,,,,,,,"169;169A;169B","46721",platform,Before Woodlands Industrial Park E7,Woodlands Avenue 8,yes,,,,bus_stop
"67",n410485119,"410485119",node,,,,,,,,,,,,,,,,,,"169","46729",platform,After Woodlands Industrial Park E7,Woodlands Avenue 8,yes,,,,bus_stop
"68",n410485122,"410485122",node,,,,,,,,,,,,,,,,,,"169;911;911T","46261",platform,Blk 808,Woodlands Avenue 9,yes,,,,bus_stop
"69",n410485123,"410485123",node,,,,,,,,,,,,,,,,,,"169","46459",platform,Blk 872,Woodlands Avenue 9,yes,,,,bus_stop
"70",n410485124,"410485124",node,,,,,,,,,,,,,,,,,,"169;169A;169B;902","46269",platform,Republic Polytechnic,Woodlands Avenue 9,yes,,,,bus_stop
"71",n410485125,"410485125",node,,,,,,,,,,,,,,,,,,"169;169A;169B","46451",platform,Opposite Blk 872,Woodlands Avenue 9,yes,,,,bus_stop
"72",n410485126,"410485126",node,,,,,,,,,,,,,,,,,,"169;858;964","46479",platform,Blk 774,Woodlands Avenue 9,yes,,,,bus_stop
"73",n410485127,"410485127",node,,,,,,,,,,,,,,yes,,,,"169;169A;169B;858;858A","46461",platform,Opposite Blk 757A Carpark,Woodlands Avenue 9,yes,,,,bus_stop
"74",n410485128,"410485128",node,,,,,,,,,,,,,,,,,,"169;858;964","46489",platform,After Gambas Avenue,Woodlands Avenue 9,yes,,,,bus_stop
"75",n410485129,"410485129",node,,,,,,,,,,,,,,yes,,yes,,"169;858","46469",platform,Blk 759,Woodlands Avenue 9,yes,,,,bus_stop
