fid,full_id,osm_id,osm_type,ref,addr:country,addr:city,wikipedia,wikidata,tactile_paving,network:wikidata,network:short,network,lit,amenity,air_conditioning,button_operated,maxspeed,short_name,wheelchair,operator,name:en,bin,shelter,bench,route_ref,public_transport,name,location,bus,traffic_signals,crossing,highway
"33",n410462721,"410462721",node,"58119",,,,,,,,,,,,,,,,,,,,,"856;859;859B;882;980;981",platform,Blk 502A,Canberra Road,yes,,,bus_stop
"34",n410462722,"410462722",node,"58101",,,,,,,,,,,,,,,,,,,,,"856;858;859;NR2",platform,Blk 311,Canberra Road,yes,,,bus_stop
"35",n410462723,"410462723",node,"58121",,,,,,,,,,,,,,,,,,,,,"656;856;859;859A;859T;981",platform,Blk 424A Carpark,Canberra Road,yes,,,bus_stop
"36",n410473848,"410473848",node,"58011",,,,,,,,,,,,,,,,,,,,,"167;856;858;859;980",platform,Opposite Sembawang Shopping Centre,Sembawang Road,yes,,,bus_stop
"37",n410473854,"410473854",node,"58019",,,,,,,,,,,,,,,,,,,,,"167;856;858;858A;859;859T;980",platform,After Sembawang Shopping Centre,Sembawang Road,yes,,,bus_stop
"38",n410473857,"410473857",node,"57131",,,,,,,,,,,,,,,,,,,,,"167;856;858;859;980",platform,Opposite Jalan Kemuning,Sembawang Road,yes,,,bus_stop
"39",n410473864,"410473864",node,"58021",,,,,,,,,,,,,,,,,,,,,"167;856;858;859;980",platform,Opposite The Nautical,Sembawang Road,yes,,,bus_stop
"40",n410473872,"410473872",node,"57139",,,,,,,,,,,,,,,,,,,,,"167;856;858;858A;859;859T;980",platform,After Jalan Kemuning,Sembawang Road,yes,,,bus_stop
"41",n410473904,"410473904",node,"57121",,,,,,,,,,,,,,,,,,,,,"167;856;858;859;969;980",platform,Opposite Blk 115B,Sembawang Road,yes,,,bus_stop
"42",n410473905,"410473905",node,"57111",,,,,,,,,,,,,,,,,,,yes,,"167;856;858;859;969;980",platform,Opposite Blk 101,Sembawang Road,yes,,,bus_stop
"43",n410473906,"410473906",node,"57129",,,,,,,,,,,,,,,,,,,yes,yes,"167;800;811;811A;811T;856;858;858A;859;859T;883M;969;980",platform,Blk 114,Sembawang Road,yes,,,bus_stop
"44",n410473907,"410473907",node,"57119",,,,,,,,,,,,,,,,,,,yes,,"167;800;811;811A;811T;856;858;858A;859;859T;883M;969;980",platform,Blk 101,Sembawang Road,yes,,,bus_stop
"45",n410475044,"410475044",node,"47111",,,,,,,,,,,,,,,,,,,,,"856;981",platform,Before Senoko Way,Senoko Avenue,yes,,,bus_stop
"46",n410475069,"410475069",node,"47119",,,,,,,,,,,,,,,,,,,,,"856;981",platform,After Senoko Way,Senoko Avenue,yes,,,bus_stop
"47",n410475081,"410475081",node,"47109",,,,,,,,,,,,,,,,,,,,,"856;981",platform,Maxsteel Enterprise,Senoko Drive,yes,,,bus_stop
"48",n410475082,"410475082",node,"47101",,,,,,,,,,,,,,,,,,,,,"856;981",platform,After Senoko Avenue,Senoko Drive,yes,,,bus_stop
"49",n410475083,"410475083",node,"47091",,,,,,,,,,,,,,,,Land Transport Authority,,,,,"856;981",platform,Before Senoko Cresent,Senoko Drive,yes,,,bus_stop
"50",n410475090,"410475090",node,"47089",,,,,,,,,,,,,,,,,,,,,"856",platform,After Senoko Drive,Senoko Road,yes,,,bus_stop
"51",n410475091,"410475091",node,"47081",,,,,,,,,,,,,,,,Land Transport Authority,,,,,"856",platform,After Senoko Cresent,Senoko Road,yes,,,bus_stop
"52",n410484489,"410484489",node,"46541",,,,,,,,,,,,,,,,,,,,,"187;856;913M;925;925M;926;950;960;960e;961;961M;963;963R;963e;966",platform,Marsiling Mall,Woodlands Avenue 3,yes,,,bus_stop
"53",n410484499,"410484499",node,"46549",,,,,,,,,,,,,,,,Land Transport Authority,,,,,"187;856;925;925A;925M;926;950;960;960e;961;961M;963;963R;963e;966;966A",platform,Blk 347,Woodlands Avenue 3,yes,,,bus_stop
"54",n410484500,"410484500",node,"46529",,,,,,,,,,,,,,,yes,Land Transport Authority,,,,,"187;856;925;925A;925M;926;950;960;960e;961;961M;963;963R;963e;966;966A",platform,Opposite Marsiling Station,Woodlands Avenue 3,yes,,,bus_stop
"55",n410484502,"410484502",node,"46531",,,,,,,,,,,,,,,,,,,,,"187;856;913M;925;925M;926;950;960;960e;961;961M;963;963R;963e;966",platform,Blk 173,Woodlands Avenue 3,yes,,,bus_stop
"56",n410484503,"410484503",node,"46521",,,,,,,,,,,,,,,yes,Land Transport Authority,,,,,"187;856;913;913T;925;925M;926;950;960;960e;961;961M;963;963R;963e;966",platform,Marsiling Station,Woodlands Avenue 3,yes,,,bus_stop
"57",n410484504,"410484504",node,"46539",,,,,,,,,,,,,,,,Land Transport Authority,,,,,"187;856;925;925A;925M;926;950;960;960e;961;961M;963;963R;963e;966;966A",platform,Blk 320,Woodlands Avenue 3,yes,,,bus_stop
"58",n410485135,"410485135",node,"46511",,,,,,,,,,,,,,,,Land Transport Authority,,,,,"856;912;912B;913;913M;913T;950",platform,Marsiling Primary School,Woodlands Centre Road,yes,,,bus_stop
